date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:22	71134/71134	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:52%20GMT	https://shi-nua.com/img/small/09.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/09.jpg	(from https://shi-nua.com/)
03:02:22	172294/172294	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:53%20GMT	https://shi-nua.com/img/small/10.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/10.jpg	(from https://shi-nua.com/)
03:02:23	434473/434473	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:12%20GMT	https://shi-nua.com/img/big/10.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/10.jpg	(from https://shi-nua.com/)
03:02:23	437181/437181	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:11%20GMT	https://shi-nua.com/img/big/11.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/11.jpg	(from https://shi-nua.com/)
03:02:23	117933/117933	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:53%20GMT	https://shi-nua.com/img/small/11.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/11.jpg	(from https://shi-nua.com/)
03:02:23	235499/235499	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:53%20GMT	https://shi-nua.com/img/small/12.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/12.jpg	(from https://shi-nua.com/)
03:02:23	329529/329529	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:11%20GMT	https://shi-nua.com/img/big/13.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/13.jpg	(from https://shi-nua.com/)
03:02:24	101903/101903	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:53%20GMT	https://shi-nua.com/img/small/13.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/13.jpg	(from https://shi-nua.com/)
03:02:24	807231/807231	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:12%20GMT	https://shi-nua.com/img/big/12.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/12.jpg	(from https://shi-nua.com/)
03:02:24	74113/74113	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:53%20GMT	https://shi-nua.com/img/small/14.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/14.jpg	(from https://shi-nua.com/)
03:02:24	417696/417696	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:12%20GMT	https://shi-nua.com/img/big/14.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/14.jpg	(from https://shi-nua.com/)
